TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,Lindi,DDD_CAR_C,DDD_CAR_E,DDD_CAR_NW,DDD_CAR_S,DDD_CAR_SE,DDD_CAR_SW,DDD_CAR_W
2025-05-10,22.1,32.4,26.1,85,71.1,4.9,2,117,1,657.7525679758307,0,0,0,0,1,0,0
2025-05-11,22.4,33.7,26.3,86,22.0,5.5,2,243,1,203.5240013427325,0,0,0,0,0,1,0
2025-05-12,22.4,33.0,26.1,86,3.0,6.9,3,105,1,27.75327291037261,0,0,0,0,0,0,1
2025-05-13,23.1,32.0,25.6,88,8.5,5.5,2,289,1,78.63427324605573,0,0,0,0,0,0,1
2025-05-14,23.2,30.1,25.0,91,4.8,3.9,2,203,1,44.40523665659617,0,1,0,0,0,0,0
2025-05-15,22.8,32.4,26.1,85,0.8,2.6,3,186,1,7.400872776099362,0,1,0,0,0,0,0
2025-05-16,24.0,30.4,26.4,89,17.0,4.3,2,147,1,157.2685464921115,0,0,0,1,0,0,0
2025-05-17,24.0,29.8,25.0,93,8.541935483870969,0.5,2,107,1,79.02222222222224,0,1,0,0,0,0,0
2025-05-18,23.8,31.2,25.9,90,9.0,1.0,2,215,1,83.25981873111782,0,1,0,0,0,0,0
2025-05-19,23.2,30.0,24.8,91,0.8,2.7,3,164,2,7.400872776099362,0,0,0,0,1,0,0
2025-05-20,23.2,31.2,26.0,84,4.7,2.5,3,162,1,43.48012755958376,0,0,0,1,0,0,0
2025-05-21,23.2,30.8,26.5,79,8.541935483870969,3.4,3,150,2,79.02222222222224,0,0,0,0,1,0,0
2025-05-22,23.6,30.7,25.8,84,8.541935483870969,3.9,2,126,1,79.02222222222224,0,0,0,0,1,0,0
2025-05-23,23.8,31.2,26.1,86,1.5,3.5,2,262,1,13.87663645518631,0,1,0,0,0,0,0
2025-05-24,21.0,32.6,26.8,83,8.4,3.0,2,123,1,77.70916414904332,0,0,0,0,0,0,1
2025-05-25,23.0,31.7,26.5,86,8.541935483870969,5.5,2,77,1,79.02222222222224,0,0,0,0,0,0,1
2025-05-26,22.2,30.2,24.7,87,8.541935483870969,3.9,2,290,1,79.02222222222224,1,0,0,0,0,0,0
2025-05-27,22.7,30.6,25.9,90,8.541935483870969,1.9,2,303,1,79.02222222222224,0,0,0,0,0,0,1
2025-05-28,23.8,32.8,26.5,85,8.541935483870969,0.0,1,258,1,79.02222222222224,0,0,0,0,0,0,1
2025-05-29,23.4,34.0,27.1,82,8.541935483870969,2.6,1,86,1,79.02222222222224,0,0,0,0,0,0,1
2025-05-30,23.0,32.4,26.3,84,8.541935483870969,4.6,2,178,1,79.02222222222224,0,0,0,1,0,0,0
2025-05-31,23.0,33.0,25.7,85,8.541935483870969,5.7,2,149,1,79.02222222222224,0,0,0,0,0,0,1
2025-06-01,23.2,30.5,26.0,87,29.5,5.1,3,157,1,394.2140446521288,0,0,0,0,1,0,0
2025-06-02,22.8,33.8,26.5,83,2.853333333333333,5.4,2,140,1,38.12962962962963,0,0,0,0,1,0,0
2025-06-03,22.7,34.1,26.6,84,2.853333333333333,6.9,2,176,1,38.12962962962963,0,0,0,0,1,0,0
2025-06-04,22.6,33.9,26.2,80,2.853333333333333,6.1,2,54,1,38.12962962962963,0,1,0,0,0,0,0
2025-06-05,23.0,31.4,26.7,77,2.853333333333333,5.3,2,176,2,38.12962962962963,0,0,0,1,0,0,0
2025-06-06,20.2,32.4,25.0,80,2.853333333333333,8.0,3,154,2,38.12962962962963,0,0,0,0,1,0,0
2025-06-07,21.2,31.8,25.9,82,2.853333333333333,8.0,4,169,2,38.12962962962963,0,0,0,0,1,0,0
2025-06-08,23.1,30.6,26.0,86,2.853333333333333,7.6,4,151,2,38.12962962962963,0,0,0,0,1,0,0
2025-06-09,22.8,32.4,25.8,87,23.5,7.0,2,289,1,314.0349169262721,1,0,0,0,0,0,0
2025-06-10,22.5,32.2,25.9,85,7.1,5.9,3,155,1,94.8786344755971,0,0,0,0,1,0,0
2025-06-11,23.2,31.4,26.3,79,2.853333333333333,4.5,3,71,2,38.12962962962963,0,0,0,0,1,0,0
2025-06-12,21.2,32.0,25.9,77,2.853333333333333,8.0,3,158,2,38.12962962962963,0,0,0,0,1,0,0
2025-06-13,22.0,34.8,24.4,91,2.853333333333333,8.0,2,102,1,38.12962962962963,0,1,0,0,0,0,0
2025-06-14,22.5,32.9,25.8,86,21.3,3.4,2,118,1,284.6359034267913,0,1,0,0,0,0,0
